,address,transaction_weight,holdings_weight,influence_score
0,N2C374IRX7HEX2YEQWJBTRSVRHRUV4ZSF76S54WV4COTHRUNYRCI47R3WU,0.0009605388272995958,1.0,0.6003842155309198
1,MTCEM5YJJSYGW2RCXYXGE4SXLSPUUEJKQAWG2GUX6CNN72KQ3XPJCM6NOI,0.05742853490081362,0.8322129824270994,0.5222992034165851
25,GH27QMBSQZF3O6J7SGXQRQMUQD264HNXZ7R6OXDPIOR5XOOE22UBWUXZI4,1.0,1.5303772171512053e-10,0.4000000000918227
73,V6F7XZUE6G4ODLE47CY32PLDLEC6LELBE7JWQX6RMBJBPFMZ5UOM3WXMWM,0.37858085783062223,0.07640301971538957,0.19727415496148265
79,UPBR75UVEX4UVBKLLXDEVF5OI6SN426G7IEEZFM2QYMXQHPHTX5FZUT2MA,0.13017404571053123,0.11885984291527957,0.12338552403338024
19,T6MXHXMGXURKJ7AD5NCB4IYPLWXYXKKFLLO5KAPJ56GKS7BFXHNHOODZCM,0.21593129121174418,0.04852503343634475,0.11548753654650452
64,KHGLFYRM52BT6R5CSREB7BNUOSR3FUEHCWLIXKWM44SD2RZMSXDPZS77U4,0.13031315832396395,0.09708315478444672,0.11037515620025362
21,5GW5VO4JNTHXVH2DYV7HAKBKGQFSCAI4MBUD5EN3FLBGLF4KKRXJE24ASI,0.03791384550335212,0.1562188276206549,0.10889683477373378
5,J63NZUR3S4LJC2RPBSOXGQ75DUVQEBTIFUWL2R7FCQES24HFLQAFB6WDAY,2.5957697772234536e-12,0.16782308725893483,0.1006938523563992
6,5P4IEQSZBRAQHE4WQIIMYQGSVD4N6ZWM7TEJ3QXXMZIL4BR3MV6BFQYTUQ,0.0,0.16774406974302108,0.10064644184581265
70,XMVGCC27ZCGWKOQYZDE5WESGYS4V7CRTQVIAZETJNNV7U3QTHJ6CUZ62PQ,0.08912743189444709,0.10215439035212591,0.09694360696905438
7,ZDEFFZZ4NAWFP525TOGNWICWOXKOF74DFMYCE6BMMZIZVX5NNPYKN4SRRA,0.0,0.16015845845341753,0.09609507507205052
8,2R5FTTVDIAQ55I5SPW5BE6R2SVYY45O5W64XGIVBLHQYWMZARRXTO4VIHQ,2.7450839679486966e-12,0.154996473994217,0.09299788439762824
9,LYKPESAJWNRAV7XADUHBKLADBK47HWKIM4W3K7ICKXXEURMP2AJLYLFDF4,0.0,0.15438483621697408,0.09263090173018444
69,QYXDGS2XJJT7QNR6EJ2YHNZFONU6ROFM6BKTBNVT63ZXQ5OC6IYSPNDJ4U,0.06758797702393073,0.1090802013171069,0.09248331159983642
82,ASDNGCOKPWDF3IFVNGVYTRC4EBU4RGFBIX4PVFMBVUM3T4WIKID5GABY3Y,0.19396436157038757,0.021423061942464384,0.09043958179363368
65,HMKN4BCGCDUFWIPOIKDBUTC6RXFKOKOB6TWO25ETRHTKJFTJZPD6Y3BOLQ,0.0660199152638653,0.07820961463709904,0.07333373488780555
