fecha,tipo,asset_id,monto
2023-03-12 16:00:00,Recibido,ALGO,138.132308
2023-03-12 20:15:00,Recibido,ALGO,160.5096
2023-03-13 07:30:00,Recibido,ALGO,25.5178
2023-03-13 10:30:00,Recibido,ALGO,47.8346
2023-03-14 01:15:00,Recibido,ALGO,2102.289723
2023-03-14 12:30:00,Recibido,ALGO,2099.998
2023-03-14 15:30:00,Recibido,ALGO,49.998
2023-03-14 16:30:00,Recibido,ALGO,193.0806
2023-03-14 16:45:00,Recibido,ALGO,36.298
2023-03-15 02:45:00,Recibido,ALGO,20099.998
2023-03-15 20:45:00,Recibido,ALGO,189.055859
2023-03-16 07:15:00,Recibido,ALGO,47.5216
2023-03-16 08:30:00,Recibido,ALGO,179.397
2023-03-16 09:15:00,Recibido,ALGO,75.191165
2023-03-16 11:15:00,Recibido,ALGO,20300.998
2023-03-16 17:15:00,Recibido,ALGO,62.335825
2023-03-16 18:30:00,Recibido,ALGO,360.01832
2023-03-16 21:30:00,Recibido,ALGO,15157.734057
2023-03-17 00:15:00,Recibido,ALGO,1014.566
2023-03-17 01:00:00,Recibido,ALGO,403.477
2023-03-17 10:00:00,Recibido,ALGO,699.998
2023-03-17 11:30:00,Recibido,ALGO,128.716804
2023-03-17 13:15:00,Recibido,ALGO,4554822.904762
2023-03-17 17:45:00,Recibido,ALGO,314.917538
2023-03-17 19:30:00,Recibido,ALGO,479.349
2023-03-17 22:00:00,Recibido,ALGO,448.621825
2023-03-17 22:45:00,Recibido,ALGO,264.195746
2023-03-17 23:15:00,Recibido,ALGO,866.07616
2023-03-18 02:15:00,Recibido,ALGO,1585.49091
2023-03-18 07:30:00,Recibido,ALGO,7360.033406
2023-03-18 08:30:00,Recibido,ALGO,99.998
2023-03-18 11:45:00,Recibido,ALGO,248.1757
2023-03-18 12:45:00,Recibido,ALGO,114.4193
2023-03-18 13:30:00,Recibido,ALGO,439.998
2023-03-18 16:45:00,Recibido,ALGO,799.40289
2023-03-18 17:30:00,Recibido,ALGO,0.998
2023-03-18 17:45:00,Recibido,ALGO,10665.654820000002
2023-03-18 18:15:00,Recibido,ALGO,5099.397
2023-03-18 18:45:00,Recibido,ALGO,29.451186
2023-03-18 19:30:00,Recibido,ALGO,96.5673
2023-03-18 20:30:00,Recibido,ALGO,3516.156275
2023-03-18 21:15:00,Recibido,ALGO,1089.846965
2023-03-19 07:00:00,Recibido,ALGO,218.998
2023-03-19 08:15:00,Recibido,ALGO,1106.1408
2023-03-19 11:45:00,Recibido,ALGO,875.322761
2023-03-19 12:30:00,Recibido,ALGO,1949.998
2023-03-19 12:45:00,Recibido,ALGO,29.397
2023-03-19 13:15:00,Recibido,ALGO,628.57877
2023-03-19 14:30:00,Recibido,ALGO,613.354354
2023-03-19 14:45:00,Recibido,ALGO,4499.998
2023-03-19 16:45:00,Recibido,ALGO,284.973444
2023-03-19 19:15:00,Recibido,ALGO,0.998
2023-03-19 20:00:00,Recibido,ALGO,2546.556174
2023-03-19 20:15:00,Recibido,ALGO,28.969808
2023-03-19 20:45:00,Recibido,ALGO,664.397
2023-03-19 21:45:00,Recibido,ALGO,1479.1024579999998
2023-03-19 23:45:00,Recibido,ALGO,588.657
2023-03-20 00:15:00,Recibido,ALGO,201.897
2023-03-20 01:15:00,Recibido,ALGO,168.997
2023-03-20 01:45:00,Recibido,ALGO,2813.381297
2023-03-20 03:00:00,Recibido,ALGO,17819992.599
2023-03-20 07:15:00,Recibido,ALGO,2578581.311038
2023-03-20 14:00:00,Recibido,ALGO,0.998
2023-03-20 14:30:00,Recibido,ALGO,15158.549208
2023-03-20 15:45:00,Recibido,ALGO,1277.72898
2023-03-20 16:30:00,Recibido,ALGO,515.062192
2023-03-20 16:45:00,Recibido,ALGO,117.922528
2023-03-20 17:30:00,Recibido,ALGO,120.158274
2023-03-20 18:15:00,Recibido,ALGO,2090.048507
2023-03-20 18:45:00,Recibido,ALGO,99.790077
2023-03-20 20:00:00,Recibido,ALGO,1424.468275
2023-03-20 22:45:00,Recibido,ALGO,603.6681
2023-03-20 23:00:00,Recibido,ALGO,1099.998
2023-03-21 00:30:00,Recibido,ALGO,216.383211
2023-03-21 01:45:00,Recibido,ALGO,591.879202
2023-03-21 08:00:00,Recibido,ALGO,49.397
2023-03-21 10:00:00,Recibido,ALGO,100.3415
2023-03-21 10:15:00,Recibido,ALGO,110.0452
2023-03-21 10:45:00,Recibido,ALGO,1499.998
2023-03-21 11:00:00,Recibido,ALGO,1749.998
2023-03-21 12:30:00,Recibido,ALGO,6302021.0
2023-03-21 15:15:00,Recibido,ALGO,1499.496
2023-03-21 16:30:00,Recibido,ALGO,211.476132
2023-03-21 18:00:00,Recibido,ALGO,24.998
2023-03-21 18:30:00,Recibido,ALGO,11199.996
2023-03-21 22:00:00,Recibido,ALGO,1499.998
2023-03-22 04:30:00,Recibido,ALGO,1160.028415
2023-03-22 04:45:00,Recibido,ALGO,3824389.267236
2023-03-22 05:15:00,Recibido,ALGO,125.7084
2023-03-22 07:15:00,Recibido,ALGO,91.142279
2023-03-22 08:30:00,Recibido,ALGO,44.3019
2023-03-22 08:45:00,Recibido,ALGO,19.6872
2023-03-22 09:15:00,Recibido,ALGO,9037.074999
2023-03-22 09:30:00,Recibido,ALGO,5.998
2023-03-22 10:45:00,Recibido,ALGO,1088.074
2023-03-22 11:30:00,Recibido,ALGO,1101.860974
2023-03-22 12:00:00,Recibido,ALGO,4515.223
2023-03-22 13:00:00,Recibido,ALGO,1007.146657
2023-03-22 13:30:00,Recibido,ALGO,762.836266
2023-03-22 13:45:00,Recibido,ALGO,968.7314
2023-03-22 14:15:00,Recibido,ALGO,588.5384
2023-03-22 14:30:00,Recibido,ALGO,4.568384
2023-03-22 15:00:00,Recibido,ALGO,2788.823078
2023-03-22 15:15:00,Recibido,ALGO,66.200699
2023-03-22 16:30:00,Recibido,ALGO,277.12802
2023-03-22 17:15:00,Recibido,ALGO,5.95268
2023-03-22 17:45:00,Recibido,ALGO,1306.404618
2023-03-22 18:30:00,Recibido,ALGO,8.567
2023-03-22 19:00:00,Recibido,ALGO,12.99
2023-03-22 19:45:00,Recibido,ALGO,1163.329782
2023-03-22 20:00:00,Recibido,ALGO,40.007502
2023-03-22 20:30:00,Recibido,ALGO,2585.680387
2023-03-22 20:45:00,Recibido,ALGO,27852141.51
2023-03-22 21:15:00,Recibido,ALGO,115.399498
2023-03-22 21:45:00,Recibido,ALGO,689.515846
2023-03-22 22:00:00,Recibido,ALGO,179.6155
2023-03-22 22:30:00,Recibido,ALGO,9028.976
2023-03-22 23:15:00,Recibido,ALGO,680.350468
2023-03-23 04:30:00,Recibido,ALGO,224.428652
2023-03-23 05:00:00,Recibido,ALGO,61.208357
2023-03-23 07:45:00,Recibido,ALGO,4482.3625569999995
2023-03-23 08:15:00,Recibido,ALGO,27.176544
2023-03-23 09:00:00,Recibido,ALGO,4.998
2023-03-23 10:30:00,Recibido,ALGO,2109.395
2023-03-23 10:45:00,Recibido,ALGO,72.859082
2023-03-23 12:00:00,Recibido,ALGO,141.217
2023-03-23 12:30:00,Recibido,ALGO,170.19003
2023-03-23 12:45:00,Recibido,ALGO,3414.3040180000003
2023-03-23 14:45:00,Recibido,ALGO,101.598
2023-03-23 15:30:00,Recibido,ALGO,5460.224602
2023-03-23 16:15:00,Recibido,ALGO,154.871814
2023-03-23 18:30:00,Recibido,ALGO,91.301355
2023-03-23 20:15:00,Recibido,ALGO,368.831769
2023-03-23 21:00:00,Recibido,ALGO,53.048
2023-03-23 21:15:00,Recibido,ALGO,182.278
2023-03-23 21:45:00,Recibido,ALGO,10025.272003
2023-03-23 22:00:00,Recibido,ALGO,1103.154417
2023-03-23 22:30:00,Recibido,ALGO,841.7502999999999
2023-03-23 23:15:00,Recibido,ALGO,203.9464
2023-03-24 00:00:00,Recibido,ALGO,434.308323
2023-03-24 02:15:00,Recibido,ALGO,619.396374
2023-03-24 08:30:00,Recibido,ALGO,117.708
2023-03-24 09:00:00,Recibido,ALGO,1027.768393
2023-03-24 09:15:00,Recibido,ALGO,49.753
2023-03-24 09:30:00,Recibido,ALGO,2952525.0887080003
2023-03-24 09:45:00,Recibido,ALGO,287.0751
2023-03-24 10:15:00,Recibido,ALGO,99.998
2023-03-24 11:00:00,Recibido,ALGO,2642.1035
2023-03-24 11:15:00,Recibido,ALGO,695.892224
2023-03-24 12:00:00,Recibido,ALGO,85.699847
2023-03-24 12:30:00,Recibido,ALGO,105.598533
2023-03-24 12:45:00,Recibido,ALGO,1045.896
2023-03-24 13:15:00,Recibido,ALGO,389.769884
2023-03-24 13:30:00,Recibido,ALGO,2399.806015
2023-03-24 14:00:00,Recibido,ALGO,382.168304
2023-03-24 14:15:00,Recibido,ALGO,201.820739
2023-03-24 14:45:00,Recibido,ALGO,1463.552262
2023-03-24 15:15:00,Recibido,ALGO,717.998
2023-03-24 15:30:00,Recibido,ALGO,89.996
2023-03-24 16:45:00,Recibido,ALGO,52.642173
2023-03-24 17:30:00,Recibido,ALGO,64.998
2023-03-24 17:45:00,Recibido,ALGO,1007.99
2023-03-24 18:30:00,Recibido,ALGO,91.048
2023-03-24 19:30:00,Recibido,ALGO,2615.507605
2023-03-24 20:15:00,Recibido,ALGO,52.22659
2023-03-24 20:30:00,Recibido,ALGO,253.85325
2023-03-24 21:00:00,Recibido,ALGO,256.478217
2023-03-24 21:45:00,Recibido,ALGO,140.359787
2023-03-24 22:15:00,Recibido,ALGO,10.43875
2023-03-24 22:30:00,Recibido,ALGO,1711.464369
2023-03-24 23:00:00,Recibido,ALGO,9672.736713999999
2023-03-24 23:15:00,Recibido,ALGO,1002.998
2023-03-25 02:00:00,Recibido,ALGO,1999.532225
