timestamp,whale_total_balance,whale_avg_balance,whale_balance_std,whale_total_volume_24h,whale_net_flow,active_whales,whale_avg_tx_size,whale_concentration
2023-01-01 00:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 01:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 02:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 03:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 04:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 05:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 06:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 07:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 08:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 09:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 10:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 11:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 12:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 13:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 14:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 15:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 16:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 17:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 18:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 19:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 20:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 21:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 22:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-01 23:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-02 00:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-02 01:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-02 02:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-02 03:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
2023-01-02 04:00:00,-0.1259443751751697,-0.11016493197434796,-0.12319799705071671,-0.16393157999729815,-0.1259443751751697,-2.753714314208682,-0.049860333676843165,-3.4964546920431108
